,GAME_ID,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,GAME_EVENT_ID,TEAM_NAME,PLAYER_ID,LOC_X,LOC_Y,SHOT_MADE_FLAG,POINTS,SHOT_DISTANCE,CENTER_LABEL,LEFT_LABEL,RIGHT_LABEL,EIGHT_FT_LABEL,SHOT_ZONE_RANGE,SHOT_ZONE_BASIC,SHOT_ZONE_CUTSOM,SHOT_ZONE_AREA
0,G11,1,11,25,1,Braves,#10,83,267,0,3,27,CENTER,False,False,CENTER,24+ ft.,Above the Break 3,Center 3,Center(C)
1,G11,1,11,25,2,Braves,#10,-210,124,0,3,24,LEFT,True,False,LEFT,24+ ft.,Above the Break 3,Left Center 3,Left Side Center(LC)
2,G11,1,10,36,3,Dreamers,#42,100,19,0,2,10,RIGHT,False,True,RIGHT,8-16 ft.,Mid-Range,Right 16 ft. 2,Right Side(R)
3,G11,1,10,25,4,Braves,#9,138,203,0,3,24,RIGHT,False,False,RIGHT,24+ ft.,Above the Break 3,Right Center 3,Right Side Center(RC)
4,G11,1,9,53,5,Braves,#2,85,229,0,3,24,RIGHT,False,False,CENTER,24+ ft.,Above the Break 3,Right Center 3,Right Side Center(RC)
5,G11,1,9,32,6,Dreamers,#23,-8,30,0,2,3,CENTER,False,False,CENTER,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
6,G11,1,9,31,7,Dreamers,#34,19,3,1,2,1,RIGHT,False,True,RIGHT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
7,G11,1,9,16,8,Braves,#6,175,173,1,3,24,RIGHT,False,False,RIGHT,24+ ft.,Above the Break 3,Right Center 3,Right Side Center(RC)
8,G11,1,9,5,9,Dreamers,#42,31,-6,0,2,3,RIGHT,False,True,RIGHT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
9,G11,1,9,4,10,Dreamers,#34,-22,-4,0,2,2,LEFT,True,False,LEFT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
10,G11,1,8,58,11,Braves,#2,-214,101,0,2,23,LEFT,True,False,LEFT,16-24 ft.,Mid-Range,Left Coner 2,Left Side(L)
11,G11,1,8,46,12,Dreamers,#11,78,102,1,2,12,RIGHT,False,False,RIGHT,8-16 ft.,In The Paint (Non-RA),Right 16 ft. 2,Right Side(R)
12,G11,1,8,28,13,Braves,#21,225,61,0,3,23,RIGHT,False,True,RIGHT,24+ ft.,Right Coner 3,Right Coner 3,Right Side(R)
13,G11,1,8,8,14,Dreamers,#23,-230,6,0,3,23,LEFT,True,False,LEFT,24+ ft.,Left Coner 3,Left Coner 3,Left Side(L)
14,G11,1,7,47,15,Braves,#6,-153,0,0,2,15,LEFT,True,False,LEFT,8-16 ft.,Mid-Range,Left 16 ft. 2,Left Side(L)
15,G11,1,7,19,16,Braves,#2,-124,218,0,3,25,LEFT,False,False,CENTER,24+ ft.,Above the Break 3,Left Center 3,Left Side Center(LC)
16,G11,1,6,53,17,Braves,#0,-53,262,0,3,26,CENTER,False,False,CENTER,24+ ft.,Above the Break 3,Center 3,Center(C)
17,G11,1,6,22,18,Braves,#7,24,5,1,2,2,RIGHT,False,True,RIGHT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
18,G11,1,6,2,19,Dreamers,#23,-104,223,0,3,24,LEFT,False,False,CENTER,24+ ft.,Above the Break 3,Left Center 3,Left Side Center(LC)
19,G11,1,5,40,20,Braves,#5,118,226,0,3,25,RIGHT,False,False,CENTER,24+ ft.,Above the Break 3,Right Center 3,Right Side Center(RC)
20,G11,1,5,21,21,Dreamers,#23,42,48,1,2,6,RIGHT,False,False,RIGHT,Less Than 8 ft.,In The Paint (Non-RA),8 ft. 2,Center(C)
21,G11,1,5,2,22,Braves,#5,-110,219,0,3,24,LEFT,False,False,CENTER,24+ ft.,Above the Break 3,Left Center 3,Left Side Center(LC)
22,G11,1,4,49,23,Dreamers,#0,-101,164,0,2,19,LEFT,False,False,LEFT,16-24 ft.,Mid-Range,Left Center 2,Left Side Center(LC)
