,GAME_ID,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,GAME_EVENT_ID,TEAM_NAME,PLAYER_ID,LOC_X,LOC_Y,SHOT_MADE_FLAG,POINTS,SHOT_DISTANCE,CENTER_LABEL,LEFT_LABEL,RIGHT_LABEL,EIGHT_FT_LABEL,SHOT_ZONE_RANGE,SHOT_ZONE_BASIC,SHOT_ZONE_CUTSOM,SHOT_ZONE_AREA
0,G06,1,11,45,1,Kings,#5,-133,8,0,2,13,LEFT,True,False,LEFT,8-16 ft.,Mid-Range,Left 16 ft. 2,Left Side(L)
1,G06,1,11,25,2,Pilots,#5,-167,108,1,2,19,LEFT,True,False,LEFT,16-24 ft.,Mid-Range,Left Coner 2,Left Side(L)
2,G06,1,11,7,3,Kings,#5,-57,259,1,3,26,CENTER,False,False,CENTER,24+ ft.,Above the Break 3,Center 3,Center(C)
3,G06,1,10,39,4,Pilots,#55,166,200,1,3,25,RIGHT,False,False,RIGHT,24+ ft.,Above the Break 3,Right Center 3,Right Side Center(RC)
4,G06,1,9,51,5,Kings,#5,-101,57,1,2,11,LEFT,True,False,LEFT,8-16 ft.,Mid-Range,Left 16 ft. 2,Left Side(L)
5,G06,1,9,40,6,Kings,#5,155,207,0,3,25,RIGHT,False,False,RIGHT,24+ ft.,Above the Break 3,Right Center 3,Right Side Center(RC)
6,G06,1,9,30,7,Pilots,#5,-161,193,0,3,25,LEFT,False,False,LEFT,24+ ft.,Above the Break 3,Left Center 3,Left Side Center(LC)
7,G06,1,9,12,8,Kings,#7,48,91,1,2,10,RIGHT,False,False,CENTER,8-16 ft.,In The Paint (Non-RA),Center 16 ft. 2,Center(C)
8,G06,1,8,57,9,Pilots,#12,-233,19,1,3,23,LEFT,True,False,LEFT,24+ ft.,Left Coner 3,Left Coner 3,Left Side(L)
9,G06,1,8,47,10,Kings,#55,68,245,0,3,25,CENTER,False,False,CENTER,24+ ft.,Above the Break 3,Center 3,Center(C)
10,G06,1,8,36,11,Pilots,#55,-16,233,0,2,23,CENTER,False,False,CENTER,16-24 ft.,Mid-Range,Center 2,Center(C)
11,G06,1,8,31,12,Pilots,#12,-233,94,0,3,25,LEFT,True,False,LEFT,24+ ft.,Above the Break 3,Left Center 3,Left Side Center(LC)
12,G06,1,8,19,13,Pilots,#5,-25,15,1,2,2,LEFT,True,False,LEFT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
13,G06,1,8,1,14,Kings,#5,-1,24,0,2,2,CENTER,False,False,CENTER,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
14,G06,1,7,58,15,Kings,#7,-1,13,1,2,1,CENTER,False,False,CENTER,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
15,G06,1,7,23,16,Pilots,#5,1,48,0,2,4,CENTER,False,False,CENTER,Less Than 8 ft.,In The Paint (Non-RA),8 ft. 2,Center(C)
