,GAME_ID,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,GAME_EVENT_ID,TEAM_NAME,PLAYER_ID,LOC_X,LOC_Y,SHOT_MADE_FLAG,POINTS,SHOT_DISTANCE,CENTER_LABEL,LEFT_LABEL,RIGHT_LABEL,EIGHT_FT_LABEL,SHOT_ZONE_RANGE,SHOT_ZONE_BASIC,SHOT_ZONE_CUTSOM,SHOT_ZONE_AREA
0,G22,1,11,43,1,Lioneers,#24,-120,215,0,3,24,LEFT,False,False,CENTER,24+ ft.,Above the Break 3,Left Center 3,Left Side Center(LC)
1,G22,1,11,22,2,Braves,#11,-22,25,1,2,3,LEFT,False,False,LEFT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
2,G22,1,11,10,3,Lioneers,#4,-10,120,0,2,12,CENTER,False,False,CENTER,8-16 ft.,In The Paint (Non-RA),Center 16 ft. 2,Center(C)
3,G22,1,10,59,4,Lioneers,#42,-172,175,1,3,24,LEFT,False,False,LEFT,24+ ft.,Above the Break 3,Left Center 3,Left Side Center(LC)
4,G22,1,10,44,5,Braves,#21,200,4,1,2,20,RIGHT,False,True,RIGHT,16-24 ft.,Mid-Range,Right Coner 2,Right Side(R)
5,G22,1,10,24,6,Lioneers,#4,-1,27,1,2,2,CENTER,False,False,CENTER,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
6,G22,1,10,17,7,Braves,#17,-80,241,0,3,25,CENTER,False,False,CENTER,24+ ft.,Above the Break 3,Center 3,Center(C)
7,G22,1,9,59,8,Lioneers,#24,41,43,0,2,5,RIGHT,False,False,RIGHT,Less Than 8 ft.,In The Paint (Non-RA),8 ft. 2,Center(C)
8,G22,1,9,57,9,Lioneers,#6,23,14,1,2,2,RIGHT,False,True,RIGHT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
9,G22,1,9,44,10,Braves,#21,-176,38,1,2,18,LEFT,True,False,LEFT,16-24 ft.,Mid-Range,Left Coner 2,Left Side(L)
10,G22,1,9,6,11,Braves,#8,-228,42,1,3,23,LEFT,True,False,LEFT,24+ ft.,Left Coner 3,Left Coner 3,Left Side(L)
11,G22,1,8,50,12,Lioneers,#6,-9,3,1,2,0,LEFT,True,False,LEFT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
12,G22,1,8,33,13,Braves,#17,34,114,0,2,11,CENTER,False,False,CENTER,8-16 ft.,In The Paint (Non-RA),Center 16 ft. 2,Center(C)
13,G22,1,8,21,14,Lioneers,#42,80,273,1,3,28,CENTER,False,False,CENTER,24+ ft.,Above the Break 3,Center 3,Center(C)
14,G22,1,8,7,15,Braves,#11,-28,5,0,2,2,LEFT,True,False,LEFT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
15,G22,1,7,46,16,Lioneers,#12,-27,19,0,2,3,LEFT,True,False,LEFT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
16,G22,1,7,43,17,Lioneers,#42,-154,-7,1,2,15,LEFT,True,False,LEFT,8-16 ft.,Mid-Range,Left 16 ft. 2,Left Side(L)
17,G22,1,7,33,18,Braves,#11,-10,-6,1,2,1,LEFT,True,True,LEFT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
18,G22,1,6,46,19,Lioneers,#4,134,108,0,2,17,RIGHT,False,False,RIGHT,16-24 ft.,Mid-Range,Right Center 2,Right Side Center(RC)
19,G22,1,6,40,20,Braves,#9,5,4,1,2,0,RIGHT,False,True,RIGHT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
20,G22,1,6,18,21,Lioneers,#24,24,160,0,2,16,CENTER,False,False,CENTER,16-24 ft.,Mid-Range,Center 2,Center(C)
21,G22,1,6,8,22,Braves,#17,-17,35,0,2,3,LEFT,False,False,CENTER,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
22,G22,1,6,5,23,Braves,#17,-26,25,0,2,3,LEFT,False,False,LEFT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
23,G22,1,5,59,24,Lioneers,#42,-9,13,1,2,1,LEFT,False,False,LEFT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
24,G22,1,5,47,25,Braves,#17,-233,30,1,3,23,LEFT,True,False,LEFT,24+ ft.,Left Coner 3,Left Coner 3,Left Side(L)
25,G22,1,5,26,26,Lioneers,#6,-9,63,0,2,6,CENTER,False,False,CENTER,Less Than 8 ft.,In The Paint (Non-RA),8 ft. 2,Center(C)
26,G22,1,4,59,27,Lioneers,#24,81,262,1,3,27,CENTER,False,False,CENTER,24+ ft.,Above the Break 3,Center 3,Center(C)
27,G22,1,4,44,28,Lioneers,#8,-143,200,0,3,24,LEFT,False,False,LEFT,24+ ft.,Above the Break 3,Left Center 3,Left Side Center(LC)
28,G22,1,4,25,29,Braves,#21,-18,-2,1,2,1,LEFT,True,False,LEFT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
29,G22,1,4,4,30,Lioneers,#6,7,191,0,2,19,CENTER,False,False,CENTER,16-24 ft.,Mid-Range,Center 2,Center(C)
30,G22,1,3,49,31,Lioneers,#55,-19,7,1,2,2,LEFT,True,False,LEFT,Less Than 8 ft.,Restricted Area,8 ft. 2,Center(C)
31,G22,1,3,18,32,Lioneers,#12,234,26,0,3,23,RIGHT,False,True,RIGHT,24+ ft.,Right Coner 3,Right Coner 3,Right Side(R)
32,G22,1,2,59,33,Braves,#12,-181,212,1,3,27,LEFT,False,False,LEFT,24+ ft.,Above the Break 3,Left Center 3,Left Side Center(LC)
33,G22,1,2,46,34,Lioneers,#8,170,178,0,3,24,RIGHT,False,False,RIGHT,24+ ft.,Above the Break 3,Right Center 3,Right Side Center(RC)
34,G22,1,2,29,35,Braves,#24,100,5,0,2,10,RIGHT,False,True,RIGHT,8-16 ft.,Mid-Range,Right 16 ft. 2,Right Side(R)
